9205,Djibouti,262,Djibouti
9206,Eritrea,232,Eritrea
9207,Ethiopia,231,Ethiopia
9208,Kenya,404,Kenya
9211,Lesotho,426,Lesotho (Southern Africa)
9212,Madagascar,450,Madagascar
9213,Malawi,454,Malawi
9214,Mauritius,480,Mauritius
9215,Mayotte,175,Mayotte
9216,Mozambique,508,Mozambique
9217,Namibia,516,Namibia (Southern Africa)
9218,Reunion,638,Reunion
9221,Rwanda,646,Rwanda
9222,St Helena,654,Saint Helena (Western Africa)
9223,Seychelles,690,Seychelles
9224,Somalia,706,Somalia
9225,South Africa,710,South Africa (Southern Africa)
9226,Eswatini,748,Eswatini
9227,Tanzania,834,United Republic of Tanzania
9228,Uganda,800,Uganda
9231,Zambia,894,Zambia
9232,Zimbabwe,716,Zimbabwe
9299,"Southern and East Africa, nec",,
